Jane Austen (1775 - 1817);25 Gay Street, Bath, BA1 2NT;Novelist Jane Austen (1775-1817) lived in Bath from 1801 to 1806, on multiple locations. She never actually lived at No. 40 Gay Street, the Georgian Town House where the Jane Austen Centre currently resides. Austen did howerver live on No 25 Gay Street, in a house similar to the one that holds the museum. Austen would use Batch as backdrop for two of her novels, the posthumously published Persuasion (1817) and Northanger Abbey  (1818).;South West;Museum
Jane Austen (1775 - 1817);Stanford Cottage, Warwick Street, Worthing, West Sussex, BN11 3EZ;Before moving to Southampton in 1806, novelist Jane Austen (1775-1817) lived in Stanfords Cottage, a house in the seaside resort of Worthing, on the Sussex coast. It was in this cottage, now home to a Pizza Express, that Austen supposedly wrote her epistolary novel Lady Susan.;South East;-
Jane Austen (1775 - 1817);"Winchester Road,
Chawton,
Hampshire,
GU34 1SD";Novelist Jane Austen (1775-1817) lived in Chawton, Hampshire, for the last eight years of her live. In this house, now Jane Austen’s House Museum, she wrote or revised almost all of her novels. The Chawton house is the only Austen related house that is open to the public.;South East;Museum (Jane Austen House)
Charlotte Brönte (1816-1855);"Church Street,
Haworth,
West Yorkshire,
BD22 8DR";Novelist Charlotte Brönte (1816-1855) wrote all novels, including Jane Eyre (1847), in this house in Haworth, were she moved to in 1820. The house is currently beinig run by The Brontë Society and famously holds The Brontë Parsonage Museum.;Yorkshire and the Humber;Museum (The Brontë Parsonage Museum)
George Eliot (1819-1880);"South Farm, Nuneaton, Warwickshire CV10 7PT";"Middlemarch-author George Eliot (1819-1880) was born in this Warwickshire house as Mary An Evans. She lived in the house for four months before moving to nearby Griff House. Several of her novels have the Warwickshire countryside surrounding South Farm as their setting. This house is not open as a regular museum and can only be visited on an official guided tour.
 ";West Midlands;Museum
George Eliot (1819-1880);142 Strand, WC2R 1HH;Invited by her publisher John Chapman, Middlemarch-author George Eliot (1819-1880) worked here as an editor for the Westminster Review. It was here that she met her future lover George Henry Lewes, a married man with whom she would scandously live together.;Greater London;-
George Eliot (1819-1880);Holly Lodge, 33 South Field, Wandsworth, Wimbledon Park Road SW18;Holly Lodge, a semi-detached house, was home to novelist George Eliot (1819-1880) between February 1859 to September 1860. Here she finished her novel The Mill on the Floss (1860). Both Charles Dickens and Wilkie Collins visited Eliot at Holly Lodge.;Greater London;-
William Makepeace Thackeray (1811-1863);2 Palace Green, Kensington, W8 4QB, ;Once described by novelist William Makepeace Thackeray (1811-1863) as the ‘reddest house in all London’, this house was home to the Calcutta-born author of The Luck of Barry Lyndon (1844) from 1860 to his death in 1863. The Israeli Embassy currently resides in the buidling.;Greater London;Blue Plaque (English Heritage)
William Makepeace Thackeray (1811-1863);Rock Villa, 85 London Road, Tunbridge Wells, Kent.;Born in Calcutta in 1811, novelist William Makepeace  Thackeray (1811-1863) first visited the Kentish town of Tunbridge Wells in 1823 as a school boy. In The Virginians he uses the town as the backlcloth to parts of the novel. In 1860, already one of Englands most famous writers, he stayed at Rock Villa, the building that is now known as 'Thackeray's House’, a former Michelin star restaurant.;South East;Named ‘Thackeray House’
Charles Dickens (1812-1870);Tavistock House, Tavistock Square, WC1H 9JP;Demolished in 1901 and today home to the headquarters of the British Medical Association, novelist Charles Dickens (1812-1870) lived in Tavistock House from 1851 to 1860 and wrote his novels Bleak House, Hard Times, Little Dorrit and A Tale of Two Cities here.;Greater London;Blue Plaque (English Heritage)
Charles Dickens (1812-1870);"Gads Hill Place, Higham
Kent, ME3 7PA
";‘I used to look at it as a wonderful Mansion.’ Novelist Charles Dickens (1812-1870) famously first saw Gads Hill Place in 1821, as a 9 year old boy. He remained impressed by the place and bought it in 1856, thirty-five years laying eyes on it. In 1857, Dickens was visited here by Danish author and poet Hans Christian Andersen (1805-1875). The house remained Dickens’ country home until his death in 1870. Today the house is an independent school. ;South East;-
Charles Dickens (1812-1870);"150 Ossulston Street, Kings Cross, NW 1 1EE

";Novelist Charles Dickens (1812-1870) lived at 17 Polygon, now buried beneath Somers Town Estate, in the 1820s, after the death of his father. Dickens made the Polygon home to Harold Skimpole, a character from his novel Bleak House (1853).;Greater London;-
